County,Population Density,High School Completion Percent,Median Household Income,Second Language at Home (%),Foreign Born People Percent,Poverty Rate,Black (%),American Indian (%),Asian (%),Native Hawaiian (%),Some Other Race (%),Two or more Race (%),Hispanic (%),White (%),Weapons Purchase Amount,Tactical Equipment Purchase Amount,Vehicle Purchase Amount
Barnstable County,548.3,95.4,65382,7.8,6.9,8.2,1.9,0.6,1.1,0,1.5,2.2,2.2,91.4,6566.5,3366,127788
Berkshire County,141.6,90.6,52253,7.5,5.8,12.4,2.7,0.2,1.2,0,1.2,2.1,3.5,90.6,1977,0,100355
Bristol County,991.3,83.7,59343,20.7,12.3,12.5,3.3,0.4,1.9,0,3.4,2.6,6,85.6,41818,10816.05,2557860.12
Dukes County,160.2,92.8,63534,11.9,9.3,9.1,3.1,1.1,0.8,0.1,3.9,3.4,2.3,86.3,7761,0,218794
Essex County,1508.8,89.3,70886,25.1,15.8,11.3,3.8,0.4,3.1,0,8.2,2.6,16.5,76,42137.45,155781.07,1069404
Franklin County,102.1,92.8,56347,6.8,5.2,11.3,1.1,0.3,1.3,0,1,2.1,3.2,92.4,0,3138.94,74528
Hampden County,751,85.4,51005,25.5,9,17.6,9,0.4,2,0.1,9.2,2.9,20.9,67.7,14050,28828.62,215653
Hampshire County,299.8,94.3,62608,10.7,7.8,14.7,2.5,0.2,4.5,0,1.5,2.5,4.7,86.2,3717.55,0,223538
Middlesex County,1837.9,92.6,89019,25.4,20,8.2,4.7,0.2,9.3,0,3.3,2.5,6.5,76.5,55123,2279.79,364901
Nantucket County,226.2,94.7,89428,14.8,17.6,10.3,6.8,0.1,1.2,0,2.6,1.8,9.4,80.5,0,0,0
Norfolk County,1693.6,93.9,90226,20.7,16.7,6.7,5.7,0.2,8.6,0,1.3,1.9,3.3,80.3,22182.97,39259.89,586986
Plymouth County,750.9,92.5,77627,12.1,8.6,8,7.2,0.2,1.2,0,3.2,2.6,3.2,83.9,19620,215.28,626821
Suffolk County,12415.6,84.8,57439,39.2,28.8,20.1,21.6,0.4,8.2,0,9.7,3.9,19.9,48.1,21779.3,56840.86,254640
Worcester County,528.6,90,67005,18.5,11.6,11.4,4.2,0.2,4,0,3.6,2.3,9.4,80.7,43470.98,411.3,804856